cv_id,name,gender,ethnicity,role,job_id,job_role,job_domain,job_level,job_text,similarity,rank,role_from_job_records,domain,level
CV_252,Sanjay Kumar,male,south_asian,Software Engineer,JOB_0,Software Engineer,tech,Junior,"Hiring a Junior Software Engineer to implement features, fix bugs, and support code reviews under guidance from senior staff.",0.3844018578529358,1,Software Engineer,tech,Junior
CV_630,Emily Johnson,female,western_european,Software Engineer,JOB_0,Software Engineer,tech,Junior,"Hiring a Junior Software Engineer to implement features, fix bugs, and support code reviews under guidance from senior staff.",0.3655068874359131,2,Software Engineer,tech,Junior
CV_612,James Wilson,male,western_european,Software Engineer,JOB_0,Software Engineer,tech,Junior,"Hiring a Junior Software Engineer to implement features, fix bugs, and support code reviews under guidance from senior staff.",0.3636634349822998,3,Software Engineer,tech,Junior
CV_342,Neha Reddy,female,south_asian,Software Engineer,JOB_0,Software Engineer,tech,Junior,"Hiring a Junior Software Engineer to implement features, fix bugs, and support code reviews under guidance from senior staff.",0.3620001077651977,4,Software Engineer,tech,Junior
CV_540,John Smith,male,western_european,Software Engineer,JOB_0,Software Engineer,tech,Junior,"Hiring a Junior Software Engineer to implement features, fix bugs, and support code reviews under guidance from senior staff.",0.3571584820747375,5,Software Engineer,tech,Junior
CV_648,Anna Brown,female,western_european,Software Engineer,JOB_0,Software Engineer,tech,Junior,"Hiring a Junior Software Engineer to implement features, fix bugs, and support code reviews under guidance from senior staff.",0.3504922688007355,6,Software Engineer,tech,Junior
CV_306,Kavita Nair,female,south_asian,Software Engineer,JOB_0,Software Engineer,tech,Junior,"Hiring a Junior Software Engineer to implement features, fix bugs, and support code reviews under guidance from senior staff.",0.3488974571228027,7,Software Engineer,tech,Junior
CV_180,Rajesh Patel,male,south_asian,Software Engineer,JOB_0,Software Engineer,tech,Junior,"Hiring a Junior Software Engineer to implement features, fix bugs, and support code reviews under guidance from senior staff.",0.3478911221027374,8,Software Engineer,tech,Junior
CV_198,Arjun Menon,male,south_asian,Software Engineer,JOB_0,Software Engineer,tech,Junior,"Hiring a Junior Software Engineer to implement features, fix bugs, and support code reviews under guidance from senior staff.",0.3460443615913391,9,Software Engineer,tech,Junior
CV_1062,Aiko Suzuki,female,east_southeast_asian,Software Engineer,JOB_0,Software Engineer,tech,Junior,"Hiring a Junior Software Engineer to implement features, fix bugs, and support code reviews under guidance from senior staff.",0.3417084217071533,10,Software Engineer,tech,Junior
CV_630,Emily Johnson,female,western_european,Software Engineer,JOB_1,Software Engineer,tech,Junior,"Junior Software Engineer role focused on contributing to backend services, writing tests, and learning deployment workflows.",0.5462148189544678,1,Software Engineer,tech,Junior
CV_252,Sanjay Kumar,male,south_asian,Software Engineer,JOB_1,Software Engineer,tech,Junior,"Junior Software Engineer role focused on contributing to backend services, writing tests, and learning deployment workflows.",0.5442079305648804,2,Software Engineer,tech,Junior
CV_540,John Smith,male,western_european,Software Engineer,JOB_1,Software Engineer,tech,Junior,"Junior Software Engineer role focused on contributing to backend services, writing tests, and learning deployment workflows.",0.5260525345802307,3,Software Engineer,tech,Junior
CV_234,Vikram Singh,male,south_asian,Software Engineer,JOB_1,Software Engineer,tech,Junior,"Junior Software Engineer role focused on contributing to backend services, writing tests, and learning deployment workflows.",0.5223183631896973,4,Software Engineer,tech,Junior
