cv_id,name,gender,ethnicity,role,job_id,job_role,job_domain,job_level,job_text,similarity,rank,role_from_job_records,domain,level
CV_306,Kavita Nair,female,south_asian,Software Engineer,JOB_0,Software Engineer,tech,Junior,"Hiring a Junior Software Engineer to implement features, fix bugs, and support code reviews under guidance from senior staff.",0.6849573850631714,1,Software Engineer,tech,Junior
CV_1008,Siti Rahma,female,east_southeast_asian,Software Engineer,JOB_0,Software Engineer,tech,Junior,"Hiring a Junior Software Engineer to implement features, fix bugs, and support code reviews under guidance from senior staff.",0.6789385676383972,2,Software Engineer,tech,Junior
CV_648,Anna Brown,female,western_european,Software Engineer,JOB_0,Software Engineer,tech,Junior,"Hiring a Junior Software Engineer to implement features, fix bugs, and support code reviews under guidance from senior staff.",0.6764345169067383,3,Software Engineer,tech,Junior
CV_90,Sarah Hassan,female,arabic_middle_eastern,Software Engineer,JOB_0,Software Engineer,tech,Junior,"Hiring a Junior Software Engineer to implement features, fix bugs, and support code reviews under guidance from senior staff.",0.6737407445907593,4,Software Engineer,tech,Junior
CV_900,Nguyen Minh,male,east_southeast_asian,Software Engineer,JOB_0,Software Engineer,tech,Junior,"Hiring a Junior Software Engineer to implement features, fix bugs, and support code reviews under guidance from senior staff.",0.6733207702636719,5,Software Engineer,tech,Junior
CV_702,Olivia Clark,female,western_european,Software Engineer,JOB_0,Software Engineer,tech,Junior,"Hiring a Junior Software Engineer to implement features, fix bugs, and support code reviews under guidance from senior staff.",0.6724638938903809,6,Software Engineer,tech,Junior
CV_684,Laura Becker,female,western_european,Software Engineer,JOB_0,Software Engineer,tech,Junior,"Hiring a Junior Software Engineer to implement features, fix bugs, and support code reviews under guidance from senior staff.",0.6696887016296387,7,Software Engineer,tech,Junior
CV_558,Robert Miller,male,western_european,Software Engineer,JOB_0,Software Engineer,tech,Junior,"Hiring a Junior Software Engineer to implement features, fix bugs, and support code reviews under guidance from senior staff.",0.6689798831939697,8,Software Engineer,tech,Junior
CV_810,María López,female,hispanic_latin_american,Software Engineer,JOB_0,Software Engineer,tech,Junior,"Hiring a Junior Software Engineer to implement features, fix bugs, and support code reviews under guidance from senior staff.",0.6681351661682129,9,Software Engineer,tech,Junior
CV_522,Fatou Diop,female,african,Software Engineer,JOB_0,Software Engineer,tech,Junior,"Hiring a Junior Software Engineer to implement features, fix bugs, and support code reviews under guidance from senior staff.",0.6680700182914734,10,Software Engineer,tech,Junior
CV_306,Kavita Nair,female,south_asian,Software Engineer,JOB_1,Software Engineer,tech,Junior,"Junior Software Engineer role focused on contributing to backend services, writing tests, and learning deployment workflows.",0.7296044826507568,1,Software Engineer,tech,Junior
CV_486,Zanele Dlamini,female,african,Software Engineer,JOB_1,Software Engineer,tech,Junior,"Junior Software Engineer role focused on contributing to backend services, writing tests, and learning deployment workflows.",0.712084949016571,2,Software Engineer,tech,Junior
CV_828,Isabella Torres,female,hispanic_latin_american,Software Engineer,JOB_1,Software Engineer,tech,Junior,"Junior Software Engineer role focused on contributing to backend services, writing tests, and learning deployment workflows.",0.711883544921875,3,Software Engineer,tech,Junior
CV_648,Anna Brown,female,western_european,Software Engineer,JOB_1,Software Engineer,tech,Junior,"Junior Software Engineer role focused on contributing to backend services, writing tests, and learning deployment workflows.",0.7117960453033447,4,Software Engineer,tech,Junior
CV_90,Sarah Hassan,female,arabic_middle_eastern,Software Engineer,JOB_1,Software Engineer,tech,Junior,"Junior Software Engineer role focused on contributing to backend services, writing tests, and learning deployment workflows.",0.7087743878364563,5,Software Engineer,tech,Junior
CV_324,Meera Iyer,female,south_asian,Software Engineer,JOB_1,Software Engineer,tech,Junior,"Junior Software Engineer role focused on contributing to backend services, writing tests, and learning deployment workflows.",0.7070352435112,6,Software Engineer,tech,Junior
CV_1008,Siti Rahma,female,east_southeast_asian,Software Engineer,JOB_1,Software Engineer,tech,Junior,"Junior Software Engineer role focused on contributing to backend services, writing tests, and learning deployment workflows.",0.7063488960266113,7,Software Engineer,tech,Junior
CV_936,Aditya Putra,male,east_southeast_asian,Software Engineer,JOB_1,Software Engineer,tech,Junior,"Junior Software Engineer role focused on contributing to backend services, writing tests, and learning deployment workflows.",0.7034913897514343,8,Software Engineer,tech,Junior
CV_702,Olivia Clark,female,western_european,Software Engineer,JOB_1,Software Engineer,tech,Junior,"Junior Software Engineer role focused on contributing to backend services, writing tests, and learning deployment workflows.",0.702918529510498,9,Software Engineer,tech,Junior
CV_288,Ananya Das,female,south_asian,Software Engineer,JOB_1,Software Engineer,tech,Junior,"Junior Software Engineer role focused on contributing to backend services, writing tests, and learning deployment workflows.",0.7002556324005127,10,Software Engineer,tech,Junior
CV_1008,Siti Rahma,female,east_southeast_asian,Software Engineer,JOB_2,Software Engineer,tech,Mid,"Seeking a Software Engineer to design APIs, maintain microservices, and collaborate with other developers on production systems.",0.804977297782898,1,Software Engineer,tech,Mid
CV_324,Meera Iyer,female,south_asian,Software Engineer,JOB_2,Software Engineer,tech,Mid,"Seeking a Software Engineer to design APIs, maintain microservices, and collaborate with other developers on production systems.",0.7982922792434692,2,Software Engineer,tech,Mid
CV_306,Kavita Nair,female,south_asian,Software Engineer,JOB_2,Software Engineer,tech,Mid,"Seeking a Software Engineer to design APIs, maintain microservices, and collaborate with other developers on production systems.",0.7963057160377502,3,Software Engineer,tech,Mid
CV_522,Fatou Diop,female,african,Software Engineer,JOB_2,Software Engineer,tech,Mid,"Seeking a Software Engineer to design APIs, maintain microservices, and collaborate with other developers on production systems.",0.7930368185043335,4,Software Engineer,tech,Mid
CV_342,Neha Reddy,female,south_asian,Software Engineer,JOB_2,Software Engineer,tech,Mid,"Seeking a Software Engineer to design APIs, maintain microservices, and collaborate with other developers on production systems.",0.7925415635108948,5,Software Engineer,tech,Mid
